,shot_x,shot_y,dut,r,c,cap,D,x,y,Voltage,Current
138,0,-2,POC22_Main_381_77F,1,1,+5.38016E-11,+8.32549E-03,146,279,99.99998544229352,2.839218595506341e-11
139,0,-2,POC22_Main_508_44,1,1,+3.58536E-11,+8.25304E-03,146,299,100.00000398366488,-6.895872057937738e-14
140,0,-2,POC22_Main_508_47,1,1,+5.74242E-11,+1.22499E-02,146,305,100.00001325435056,4.6954619740204515e-12
141,0,-2,POC22_Main_508_88F,1,1,+1.24890E-10,+2.11563E-02,146,287,100.00000398366488,7.453810797212091e-12
142,0,-2,POC22_Main_762_77,1,1,+2.22609E-10,+2.19502E-02,146,277,99.99997617160784,2.093705867318459e-09
143,0,-2,POC22_Main_762_99F,1,1,+3.59567E-10,+3.92494E-02,146,271,100.00003179572194,3.555260247210328e-08
144,0,-3,POC22_Main_381_77F,1,1,+5.30198E-11,+7.60107E-03,146,315,100.00000398366488,3.065528578500677e-12
145,0,-3,POC22_Main_508_44,1,1,+3.52095E-11,+6.20626E-03,146,335,99.99998544229352,-6.964830778553512e-12
146,0,-3,POC22_Main_508_47,1,1,+5.65524E-11,+7.92154E-03,146,341,100.00000398366488,-5.397587129013485e-12
147,0,-3,POC22_Main_508_88F,1,1,+1.22593E-10,+1.03560E-02,146,323,100.00000398366488,6.701533845431952e-12
148,0,-3,POC22_Main_762_77,1,1,+2.19561E-10,+1.83018E-02,146,313,100.00002252503624,2.3746248880365473e-10
149,0,-3,POC22_Main_762_99F,1,1,+3.56524E-10,+2.12618E-02,146,307,99.99997617160784,5.140929039991461e-09
150,0,-4,POC22_Main_381_77F,1,1,+5.26235E-11,+9.07486E-03,146,351,99.9999947129792,4.632772228040704e-12
151,0,-4,POC22_Main_508_44,1,1,+3.55172E-11,+7.64860E-03,146,371,100.00001325435056,1.1277885302089228e-11
152,0,-4,POC22_Main_508_47,1,1,+5.72995E-11,+8.34856E-03,146,377,99.99998544229352,1.979052590892756e-10
153,0,-4,POC22_Main_508_88F,1,1,+1.22814E-10,+1.61538E-02,146,359,100.00002252503624,-1.1346844022648753e-12
154,0,-4,POC22_Main_762_77,1,1,+2.17674E-10,+2.29956E-02,146,349,99.99998544229352,1.36406618281336e-10
155,0,-4,POC22_Main_762_99F,1,1,+3.51192E-10,+3.73385E-02,146,343,100.00001325435056,2.3508592053349316e-09
156,0,0,POC22_Main_381_77F,1,1,+5.35595E-11,+2.75131E-02,146,207,1.194268932010058,9.999986739333625e-07
157,0,0,POC22_Main_508_44,1,1,+3.59927E-11,+7.76286E-03,146,227,100.00001325435056,1.191105173664847e-13
158,0,0,POC22_Main_508_47,1,1,+5.80540E-11,+1.00246E-02,146,233,99.99998544229352,-1.949651100028072e-12
159,0,0,POC22_Main_508_88F,1,1,+1.23055E-10,+2.03450E-02,146,215,17.22303417645013,1.0000940250370003e-06
160,0,0,POC22_Main_762_77,1,1,+2.26236E-10,+2.39644E-02,146,205,100.00002252503624,-5.341793255091012e-11
161,0,0,POC22_Main_762_99F,1,1,+3.70054E-10,+3.28976E-02,146,199,99.9999947129792,-8.313287214618097e-11
162,0,1,POC22_Main_381_77F,1,1,+5.39577E-11,+9.16787E-03,146,171,100.000059607779,-2.5395616097142117e-11
163,0,1,POC22_Main_508_44,1,1,+3.59574E-11,+9.13629E-03,146,191,99.99998544229352,4.25663375214898e-12
164,0,1,POC22_Main_508_47,1,1,+5.79681E-11,+9.92043E-03,146,197,99.99998544229352,1.4663131585094893e-11
165,0,1,POC22_Main_508_88F,1,1,+1.25802E-10,+2.46887E-02,146,179,100.00001325435056,6.851362338327686e-11
166,0,1,POC22_Main_762_77,1,1,+2.25297E-10,+3.49763E-02,146,169,100.00000398366488,2.5856323040359757e-09
167,0,1,POC22_Main_762_99F,1,1,+3.66421E-10,+6.14796E-02,146,163,99.99997617160784,2.910671741078449e-08
168,0,2,POC22_Main_381_77F,1,1,+5.35984E-11,+8.98556E-03,146,135,100.00001325435056,7.265741559266229e-12
169,0,2,POC22_Main_508_44,1,1,+3.57630E-11,+8.00842E-03,146,155,100.00001325435056,9.02105444675212e-12
170,0,2,POC22_Main_508_47,1,1,+5.77854E-11,+1.11883E-02,146,161,99.9999947129792,2.901908341487744e-11
171,0,2,POC22_Main_508_88F,1,1,+1.24694E-10,+3.52107E-02,146,143,100.00000398366488,2.2562039578774777e-11
172,0,2,POC22_Main_762_77,1,1,+2.22291E-10,+2.06921E-02,146,133,100.00001325435056,3.041643785280656e-10
173,0,2,POC22_Main_762_99F,1,1,+3.59327E-10,+3.47620E-02,146,127,100.00000398366488,3.2653772197143292e-09
174,0,3,POC22_Main_381_77F,1,1,+5.32143E-11,+8.25667E-03,146,99,99.9999947129792,2.2373970340828915e-11
175,0,3,POC22_Main_508_44,1,1,+3.55569E-11,+7.45481E-03,146,119,100.00001325435056,-1.1346844022648753e-12
176,0,3,POC22_Main_508_47,1,1,+5.73861E-11,+9.97179E-03,146,125,100.00001325435056,5.134290195891925e-12
177,0,3,POC22_Main_508_88F,1,1,+1.23690E-10,+2.31820E-02,146,107,99.99995763023644,-1.2669597662879345e-11
178,0,3,POC22_Main_762_77,1,1,+2.20360E-10,+1.99714E-02,146,97,100.00002252503624,3.2341639951900047e-11
