,shot_x,shot_y,dut,r,c,cap,D,Voltage,Current
298,1,-3,POC22_Main_508_44,1,1,3.53E-11,1.09E-02,99.99997617,-1.45E-12
299,1,-3,POC22_Main_508_47,1,1,5.67E-11,1.05E-02,100.0000225,9.34E-13
300,1,-3,POC22_Main_508_88F,1,1,1.29E-10,1.46E-02,99.99999471,-7.59E-13
301,1,-3,POC22_Main_508_88F,1,2,1.29E-10,1.72E-02,100.0000225,1.70E-10
302,1,-3,POC22_Main_508_88F,1,3,1.29E-10,1.62E-02,100.000004,1.16E-10
303,1,-3,POC22_Main_508_88F,1,4,1.24E-10,4.36E-02,99.99998544,2.08E-10
304,1,-3,POC22_Main_762_77,1,1,2.20E-10,2.21E-02,99.99999471,3.41E-10
305,1,-3,POC22_Main_762_99F,1,1,3.55E-10,5.13E-02,100.0000225,5.34E-09
306,1,0,POC22_Main_381_77F,1,1,2.59E-11,2.03E+01,0.620042661,1.00E-06
307,1,0,POC22_Main_508_44,1,1,3.57E-11,8.46E-03,100.000004,1.64E-11
308,1,0,POC22_Main_508_47,1,1,5.76E-11,1.11E-02,100.0000225,9.52E-12
309,1,0,POC22_Main_508_88F,1,1,1.32E-10,1.50E-02,100.0000133,3.94E-12
310,1,0,POC22_Main_508_88F,1,2,1.32E-10,1.64E-02,100.0000133,8.71E-10
311,1,0,POC22_Main_508_88F,1,3,1.32E-10,1.61E-02,99.99998544,3.46E-10
312,1,0,POC22_Main_508_88F,1,4,1.31E-10,1.51E-02,99.99997617,8.49E-10
313,1,0,POC22_Main_762_77,1,1,2.22E-10,3.43E-02,99.99993909,6.11E-09
314,1,0,POC22_Main_762_99F,1,1,3.59E-10,6.36E-02,99.99999471,7.20E-08
315,1,1,POC22_Main_381_77F,1,1,5.37E-11,1.25E-02,99.99997617,1.94E-12
316,1,1,POC22_Main_508_44,1,1,3.55E-11,1.02E-02,100.0000133,1.33E-11
317,1,1,POC22_Main_508_47,1,1,5.75E-11,1.26E-02,100.0000318,-4.45E-13
318,1,1,POC22_Main_508_88F,1,1,1.31E-10,1.59E-02,100.0000411,2.35E-11
319,1,1,POC22_Main_508_88F,1,2,1.31E-10,1.49E-02,100.0000133,4.66E-10
320,1,1,POC22_Main_508_88F,1,3,1.31E-10,1.68E-02,100.0000318,2.17E-10
321,1,1,POC22_Main_508_88F,1,4,1.31E-10,1.50E-02,100.000004,4.76E-10
322,1,1,POC22_Main_762_77,1,1,2.23E-10,4.33E-02,100.000004,2.23E-09
323,1,1,POC22_Main_762_99F,1,1,3.63E-10,4.95E-02,100.000004,2.36E-08
324,1,2,POC22_Main_381_77F,1,1,5.37E-11,1.03E-02,99.99997617,-6.15E-12
325,1,2,POC22_Main_508_44,1,1,3.56E-11,9.28E-03,100.0000318,-1.57E-11
326,1,2,POC22_Main_508_47,1,1,5.75E-11,1.11E-02,99.99997617,1.23E-11
327,1,2,POC22_Main_508_88F,1,1,1.31E-10,1.44E-02,100.0000133,-2.47E-11
328,1,2,POC22_Main_508_88F,1,2,1.31E-10,1.56E-02,100.0000225,2.23E-10
329,1,2,POC22_Main_508_88F,1,3,1.31E-10,1.62E-02,99.99998544,1.23E-10
330,1,2,POC22_Main_508_88F,1,4,1.31E-10,1.66E-02,100.0000133,2.03E-10
331,1,2,POC22_Main_762_77,1,1,2.22E-10,2.34E-02,99.99999471,2.92E-10
332,1,2,POC22_Main_762_99F,1,1,3.61E-10,4.37E-02,99.99997617,3.19E-09
333,1,3,POC22_Main_381_77F,1,1,5.33E-11,1.10E-02,100.0000133,-1.38E-11
334,1,3,POC22_Main_508_44,1,1,3.57E-11,9.65E-03,99.99997617,1.71E-11
335,1,3,POC22_Main_508_47,1,1,5.74E-11,1.10E-02,100.0000133,-1.96E-11
336,1,3,POC22_Main_508_88F,1,1,1.31E-10,1.47E-02,99.99995763,9.84E-12
337,1,3,POC22_Main_508_88F,1,2,1.31E-10,1.53E-02,99.99998544,1.63E-10
338,1,3,POC22_Main_508_88F,1,3,1.31E-10,1.66E-02,100.0000133,7.05E-11
339,1,3,POC22_Main_508_88F,1,4,1.31E-10,1.47E-02,99.99999471,1.02E-10
340,1,3,POC22_Main_762_77,1,1,2.22E-10,2.54E-02,100.0000133,3.14E-11
341,1,3,POC22_Main_762_99F,1,1,3.59E-10,4.69E-02,100.000004,5.95E-10
342,2,-1,POC22_Main_381_77F,1,1,5.36E-11,9.45E-03,99.99999471,2.24E-11
343,2,-1,POC22_Main_508_44,1,1,3.57E-11,9.10E-03,99.9999669,8.58E-12
344,2,-1,POC22_Main_508_47,1,1,5.75E-11,9.68E-03,99.99999471,2.80E-11
345,2,-1,POC22_Main_508_88F,1,1,1.31E-10,1.37E-02,99.99999471,-1.89E-12
346,2,-1,POC22_Main_508_88F,1,2,1.31E-10,1.75E-02,100.000004,2.75E-10
347,2,-1,POC22_Main_508_88F,1,3,1.31E-10,1.68E-02,99.99999471,1.52E-10
348,2,-1,POC22_Main_508_88F,1,4,1.31E-10,1.80E-02,99.99995763,2.48E-10
349,2,-1,POC22_Main_762_77,1,1,2.22E-10,2.87E-02,100.0000225,1.06E-09
350,2,-1,POC22_Main_762_99F,1,1,3.58E-10,4.05E-02,100.000004,2.05E-08
351,2,-2,POC22_Main_381_77F,1,1,5.32E-11,1.17E-02,99.99999471,-5.71E-12
352,2,-2,POC22_Main_508_44,1,1,3.55E-11,7.47E-03,100.000004,-9.91E-12
353,2,-2,POC22_Main_508_47,1,1,5.70E-11,8.57E-03,99.99998544,2.09E-11
354,2,-2,POC22_Main_508_88F,1,1,1.30E-10,1.66E-02,100.0000133,1.33E-11
355,2,-2,POC22_Main_508_88F,1,2,1.30E-10,1.60E-02,100.0000133,2.25E-10
356,2,-2,POC22_Main_508_88F,1,3,1.30E-10,1.67E-02,100.0000133,7.40E-11
357,2,-2,POC22_Main_508_88F,1,4,1.30E-10,1.61E-02,99.99998544,1.95E-10
358,2,-2,POC22_Main_762_77,1,1,2.21E-10,2.76E-02,99.99998544,5.84E-10
359,2,-2,POC22_Main_762_99F,1,1,3.58E-10,3.49E-02,100.0000503,8.94E-09
360,2,-3,POC22_Main_381_77F,1,1,5.28E-11,9.57E-03,100.0000225,2.56E-11
361,2,-3,POC22_Main_508_44,1,1,3.53E-11,7.50E-03,100.0000133,9.77E-12
362,2,-3,POC22_Main_508_47,1,1,5.69E-11,9.37E-03,100.0000133,-2.28E-11
363,2,-3,POC22_Main_508_88F,1,1,1.24E-10,2.05E-02,99.99997617,-2.81E-11
364,2,-3,POC22_Main_508_88F,1,2,1.24E-10,2.49E-02,99.99997617,1.38E-10
