prefix,cap,D
0_2_POC22_Main_381_77F_1_1,+5.35984E-11,+8.98556E-03
0_2_POC22_Main_508_44_1_1,+3.57630E-11,+8.00842E-03
0_2_POC22_Main_508_47_1_1,+5.77854E-11,+1.11883E-02
0_2_POC22_Main_508_88F_1_1,+1.24694E-10,+3.52107E-02
0_2_POC22_Main_762_77_1_1,+2.22291E-10,+2.06921E-02
0_2_POC22_Main_762_99F_1_1,+3.59327E-10,+3.47620E-02
0_3_POC22_Main_381_77F_1_1,+5.32143E-11,+8.25667E-03
0_3_POC22_Main_508_44_1_1,+3.55569E-11,+7.45481E-03
0_3_POC22_Main_508_47_1_1,+5.73861E-11,+9.97179E-03
0_3_POC22_Main_508_88F_1_1,+1.23690E-10,+2.31820E-02
0_3_POC22_Main_762_77_1_1,+2.20360E-10,+1.99714E-02
0_3_POC22_Main_762_99F_1_1,+3.57371E-10,+2.39118E-02
0_4_POC22_Main_381_77F_1_1,+5.41350E-11,+7.55776E-03
0_4_POC22_Main_508_44_1_1,+3.56759E-11,+7.11185E-03
0_4_POC22_Main_508_47_1_1,+5.73506E-11,+9.19127E-03
0_4_POC22_Main_508_88F_1_1,+1.24999E-10,+3.14035E-02
0_4_POC22_Main_762_77_1_1,+2.24091E-10,+2.09754E-02
0_4_POC22_Main_762_99F_1_1,-1.41811E-10,+9.40154E+00
1_-1_POC22_Main_381_77F_1_1,+5.37206E-11,+1.07586E-02
1_-1_POC22_Main_508_44_1_1,+3.58728E-11,+7.88254E-03
1_-1_POC22_Main_508_47_1_1,+5.76545E-11,+9.02472E-03
1_-1_POC22_Main_508_88F_1_1,+1.24736E-10,+2.26733E-02
1_-1_POC22_Main_762_77_1_1,+2.23645E-10,+2.60692E-02
1_-1_POC22_Main_762_99F_1_1,+3.60752E-10,+5.41570E-02
1_-2_POC22_Main_381_77F_1_1,+5.36476E-11,+1.39894E-02
1_-2_POC22_Main_508_44_1_1,+3.57048E-11,+7.94146E-03
1_-2_POC22_Main_508_47_1_1,+5.72004E-11,+1.06958E-02
1_-2_POC22_Main_508_88F_1_1,+1.24433E-10,+2.18055E-02
1_-2_POC22_Main_762_77_1_1,+2.22169E-10,+4.18689E-02
1_-2_POC22_Main_762_99F_1_1,+3.57926E-10,+4.73034E-02
1_-3_POC22_Main_381_77F_1_1,+5.29877E-11,+1.38875E-02
1_-3_POC22_Main_508_44_1_1,+3.53145E-11,+1.08639E-02
1_-3_POC22_Main_508_47_1_1,+5.67124E-11,+1.05061E-02
1_-3_POC22_Main_508_88F_1_1,+1.22636E-10,+2.47945E-02
1_-3_POC22_Main_762_77_1_1,+2.19689E-10,+2.20856E-02
1_-3_POC22_Main_762_99F_1_1,+3.55053E-10,+5.13399E-02
1_0_POC22_Main_381_77F_1_1,+2.59229E-11,+2.02758E+01
1_0_POC22_Main_508_44_1_1,+3.57250E-11,+8.45500E-03
1_0_POC22_Main_508_47_1_1,+5.76330E-11,+1.11303E-02
1_0_POC22_Main_508_88F_1_1,+1.24666E-10,+2.40411E-02
1_0_POC22_Main_762_77_1_1,+2.21750E-10,+3.42731E-02
1_0_POC22_Main_762_99F_1_1,+3.58591E-10,+6.35636E-02
1_1_POC22_Main_381_77F_1_1,+5.37075E-11,+1.25484E-02
1_1_POC22_Main_508_44_1_1,+3.55306E-11,+1.01946E-02
1_1_POC22_Main_508_47_1_1,+5.74555E-11,+1.26022E-02
1_1_POC22_Main_508_88F_1_1,+1.24366E-10,+1.99354E-02
1_1_POC22_Main_762_77_1_1,+2.22847E-10,+4.33230E-02
1_1_POC22_Main_762_99F_1_1,+3.63479E-10,+4.95463E-02
1_2_POC22_Main_381_77F_1_1,+5.36507E-11,+1.02649E-02
